id,season,week,start_date,venue,home_team,home_points,away_team,away_conference,away_points
401013357,2018,1,2018-08-25T21:30:00.000Z,Warren McGuirk Alumni Stadium,UMass,63.0,Duquesne,NEC,15.0
401030241,2018,1,2018-08-25T23:00:00.000Z,Cramton Bowl,Jacksonville State,17.0,North Carolina A&T,MEAC,20.0
401014972,2018,1,2018-08-25T23:00:00.000Z,Rice Stadium,Rice,31.0,Prairie View,SWAC,28.0
401022510,2018,1,2018-08-25T23:30:00.000Z,Canvas Stadium,Colorado State,34.0,Hawai'i,Mountain West,43.0
401013437,2018,1,2018-08-26T02:00:00.000Z,Aggie Memorial Stadium,New Mexico State,7.0,Wyoming,Mountain West,29.0
401030567,2018,1,2018-08-30T22:00:00.000Z,Wagner College Stadium,Wagner,40.0,Bowie State,CIAA,23.0
401030097,2018,1,2018-08-30T23:00:00.000Z,Memorial Stadium,Indiana State,49.0,Quincy,Great Lakes,0.0
401030159,2018,1,2018-08-30T23:00:00.000Z,Roy Stewart Stadium,Murray State,10.0,Southern Illinois,MVFC,49.0
401030234,2018,1,2018-08-30T23:00:00.000Z,Roy Kidd Stadium,Eastern Kentucky,49.0,Morehead State,Pioneer,23.0
401030248,2018,1,2018-08-30T23:00:00.000Z,Finley Stadium,Chattanooga,34.0,Tennessee Tech,OVC,10.0
401013328,2018,1,2018-08-30T23:00:00.000Z,TCF Bank Stadium,Minnesota,48.0,New Mexico State,FBS Independents,10.0
401029895,2018,1,2018-08-30T23:00:00.000Z,Delaware Stadium,Delaware,19.0,Rhode Island,CAA,21.0
401029921,2018,1,2018-08-30T23:00:00.000Z,Alfond Stadium,Maine,35.0,New Hampshire,CAA,7.0
401029968,2018,1,2018-08-30T23:00:00.000Z,Barker-Lane Stadium,Campbell,49.0,Chowan,CIAA,26.0
401020671,2018,1,2018-08-30T23:00:00.000Z,Scheumann Stadium,Ball State,42.0,Central Connecticut,NEC,6.0
401021651,2018,1,2018-08-30T23:00:00.000Z,Georgia State Stadium,Georgia State,24.0,Kennesaw State,Big South,20.0
401019470,2018,1,2018-08-30T23:00:00.000Z,Rentschler Field,Connecticut,17.0,UCF,American Athletic,56.0
401030318,2018,1,2018-08-30T23:30:00.000Z,Seibert Stadium,Samford,66.0,Shorter,Gulf South,9.0
401030402,2018,1,2018-08-30T23:30:00.000Z,Alerus Center,North Dakota,35.0,Mississippi Valley State,SWAC,7.0
401013489,2018,1,2018-08-31T00:00:00.000Z,Boone Pickens Stadium,Oklahoma State,58.0,Missouri State,MVFC,17.0
401014979,2018,1,2018-08-31T00:00:00.000Z,Legion Field,UAB,52.0,Savannah State,MEAC,0.0
401012675,2018,1,2018-08-31T00:00:00.000Z,Rice-Eccles Stadium,Utah,41.0,Weber State,Big Sky,10.0
401013342,2018,1,2018-08-31T00:00:00.000Z,Ross-Ade Stadium,Purdue,27.0,Northwestern,Big Ten,31.0
401021655,2018,1,2018-08-31T00:00:00.000Z,Malone Stadium,Louisiana Monroe,34.0,Southeastern Louisiana,Southland,31.0
401013086,2018,1,2018-08-31T00:00:00.000Z,Benson Field at Yulman Stadium,Tulane,17.0,Wake Forest,ACC,23.0
401012258,2018,1,2018-08-31T00:30:00.000Z,Kyle Field,Texas A&M,59.0,Northwestern State,Southland,7.0
401030172,2018,1,2018-08-31T01:00:00.000Z,Bobcat Stadium,Montana State,26.0,Western Illinois,MVFC,23.0
401022511,2018,1,2018-08-31T02:00:00.000Z,Spartan Stadium,San José State,38.0,UC Davis,Big Sky,44.0
401020673,2018,1,2018-08-31T22:00:00.000Z,Waldo Stadium,Western Michigan,42.0,Syracuse,ACC,55.0
401020672,2018,1,2018-08-31T22:30:00.000Z,Rynearson Stadium,Eastern Michigan,51.0,Monmouth,Big South,17.0
401012880,2018,1,2018-08-31T23:00:00.000Z,Spartan Stadium,Michigan State,38.0,Utah State,Mountain West,31.0
401013089,2018,1,2018-08-31T23:00:00.000Z,Wallace Wade Stadium,Duke,34.0,Army,FBS Independents,14.0
401030323,2018,1,2018-09-01T00:35:00.000Z,Holt Arena,Idaho State,45.0,Western State,Rocky Mountain,10.0
401022517,2018,1,2018-09-01T01:00:00.000Z,Mackay Stadium,Nevada,72.0,Portland State,Big Sky,19.0
401022512,2018,1,2018-09-01T01:00:00.000Z,Stanford Stadium,Stanford,31.0,San Diego State,Mountain West,10.0
401013354,2018,1,2018-09-01T01:00:00.000Z,Camp Randall Stadium,Wisconsin,34.0,Western Kentucky,Conference USA,3.0
401012680,2018,1,2018-09-01T01:30:00.000Z,Sports Authority Field at Mile High,Colorado State,13.0,Colorado,Pac-12,45.0
401014977,2018,1,2018-09-01T16:00:00.000Z,Rice Stadium,Rice,27.0,Houston,American Athletic,45.0
401012820,2018,1,2018-09-01T16:00:00.000Z,High Point Solutions Stadium,Rutgers,35.0,Texas State,Sun Belt,7.0
401012256,2018,1,2018-09-01T16:00:00.000Z,Williams-Brice Stadium,South Carolina,49.0,Coastal Carolina,Sun Belt,15.0
401019473,2018,1,2018-09-01T16:00:00.000Z,Lincoln Financial Field,Temple,17.0,Villanova,CAA,19.0
401013072,2018,1,2018-09-01T16:00:00.000Z,Amon G. Carter Stadium,TCU,55.0,Southern,SWAC,7.0
401013091,2018,1,2018-09-01T16:00:00.000Z,Carter-Finley Stadium,NC State,24.0,James Madison,CAA,13.0
401013065,2018,1,2018-09-01T16:00:00.000Z,Gaylord Family Oklahoma Memorial Stadium,Oklahoma,63.0,Florida Atlantic,Conference USA,14.0
401012872,2018,1,2018-09-01T16:00:00.000Z,FedEx Field,Maryland,34.0,Texas,Big 12,29.0
401012682,2018,1,2018-09-01T16:00:00.000Z,Ohio Stadium,Ohio State,77.0,Oregon State,Pac-12,31.0
401012253,2018,1,2018-09-01T16:00:00.000Z,NRG Stadium,Texas Tech,27.0,Ole Miss,SEC,47.0
401012804,2018,1,2018-09-01T16:00:00.000Z,Memorial Stadium,Illinois,31.0,Kent State,Mid-American,24.0
401013088,2018,1,2018-09-01T16:20:00.000Z,Memorial Stadium,Clemson,48.0,Furman,Southern,7.0
401013090,2018,1,2018-09-01T16:30:00.000Z,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,41.0,Alcorn State,SWAC,0.0
401030355,2018,1,2018-09-01T16:30:00.000Z,Goodman Stadium,Lehigh,21.0,St Francis (PA),NEC,19.0
401030595,2018,1,2018-09-01T17:00:00.000Z,Leonidoff Field,Marist,14.0,Georgetown,Patriot,39.0
401030574,2018,1,2018-09-01T17:00:00.000Z,Welcome Stadium,Dayton,49.0,Robert Morris,NEC,28.0
401030589,2018,1,2018-09-01T17:00:00.000Z,D. B. Milne Field,Jacksonville,63.0,St. Augustine's,CIAA,14.0
401029889,2018,1,2018-09-01T17:00:00.000Z,Andy Kerr Stadium,Colgate,24.0,Holy Cross,Patriot,17.0
401013087,2018,1,2018-09-01T17:00:00.000Z,Alumni Stadium,Boston College,55.0,UMass,FBS Independents,21.0
401020675,2018,1,2018-09-01T18:00:00.000Z,Peden Stadium,Ohio,38.0,Howard,MEAC,32.0
401030551,2018,1,2018-09-01T18:00:00.000Z,Arthur J. Rooney Athletic Field,Duquesne,45.0,Lock Haven,Pennsylvania State Athletic,0.0
401022514,2018,1,2018-09-01T18:00:00.000Z,Falcon Stadium,Air Force,38.0,Stony Brook,CAA,0.0
401030183,2018,1,2018-09-01T18:00:00.000Z,Stambaugh Stadium,Youngstown State,21.0,Butler,Pioneer,23.0
401030536,2018,1,2018-09-01T19:00:00.000Z,Bulldog Stadium,Bryant,41.0,New Haven,Northeast 10,31.0
401029744,2018,1,2018-09-01T19:30:00.000Z,Fargodome,North Dakota State,49.0,Cal Poly,Big Sky,3.0
401012248,2018,1,2018-09-01T19:30:00.000Z,Mercedes-Benz Stadium,Auburn,21.0,Washington,Pac-12,16.0
401012683,2018,1,2018-09-01T19:30:00.000Z,War Memorial Stadium,Wyoming,19.0,Washington State,Pac-12,41.0
401012257,2018,1,2018-09-01T19:30:00.000Z,Bank of America Stadium,Tennessee,14.0,West Virginia,Big 12,40.0
401012250,2018,1,2018-09-01T19:30:00.000Z,Sanford Stadium,Georgia,45.0,Austin Peay,OVC,0.0
401013092,2018,1,2018-09-01T19:30:00.000Z,Heinz Field,Pittsburgh,33.0,Albany,CAA,7.0
401013349,2018,1,2018-09-01T19:30:00.000Z,Beaver Stadium,Penn State,45.0,Appalachian State,Sun Belt,38.0
401012251,2018,1,2018-09-01T19:30:00.000Z,Commonwealth Stadium,Kentucky,35.0,Central Michigan,Mid-American,20.0
401012862,2018,1,2018-09-01T19:40:00.000Z,Kinnick Stadium,Iowa,33.0,Northern Illinois,Mid-American,7.0
401012684,2018,1,2018-09-01T20:00:00.000Z,California Memorial Stadium,California,24.0,North Carolina,ACC,17.0
401012255,2018,1,2018-09-01T20:00:00.000Z,Faurot Field,Missouri,51.0,UT Martin,OVC,14.0
401012247,2018,1,2018-09-01T20:00:00.000Z,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,55.0,Eastern Illinois,OVC,20.0
401012678,2018,1,2018-09-01T20:00:00.000Z,Los Angeles Memorial Coliseum,USC,43.0,UNLV,Mountain West,21.0
401030208,2018,1,2018-09-01T20:00:00.000Z,Nottingham Field,Northern Colorado,14.0,McNeese,Southland,17.0
401037010,2018,1,2018-09-01T20:05:00.000Z,Roos Field,Eastern Washington,58.0,Central Washington,Great Northwest,13.0
401030506,2018,1,2018-09-01T21:00:00.000Z,Bragg Memorial Stadium,Florida A&M,41.0,Fort Valley State,SIAC,7.0
401030604,2018,1,2018-09-01T21:00:00.000Z,Torero Stadium,San Diego,38.0,Western New Mexico,Lone Star,9.0
401021653,2018,1,2018-09-01T22:00:00.000Z,Paulson Stadium,Georgia Southern,37.0,South Carolina State,MEAC,6.0
401014973,2018,1,2018-09-01T22:00:00.000Z,Jerry Richardson Stadium,Charlotte,34.0,Fordham,Patriot,10.0
401030519,2018,1,2018-09-01T22:00:00.000Z,"William Dick"""" Price Stadium""""",Norfolk State,34.0,Virginia State,CIAA,13.0
401013448,2018,1,2018-09-01T22:00:00.000Z,Williams Stadium,Liberty,52.0,Old Dominion,Conference USA,10.0
401014975,2018,1,2018-09-01T22:00:00.000Z,Yager Stadium,Miami (OH),28.0,Marshall,Conference USA,35.0
401021656,2018,1,2018-09-01T22:00:00.000Z,Veterans Memorial Stadium,Troy,20.0,Boise State,Mountain West,56.0
401020674,2018,1,2018-09-01T22:00:00.000Z,UB Stadium,Buffalo,48.0,Delaware State,MEAC,10.0
