season,week,home_team_x,home_points,away_team_x,away_points,spread,margin,PREDICTION
2015,1,South Carolina,17.0,North Carolina,13.0,-3.5,-4.0,-6.234375
2015,1,UCF,14.0,Florida International,15.0,-17.0,1.0,-6.584583997632022
2015,1,Central Michigan,13.0,Oklahoma State,24.0,20.5,11.0,13.784801349309364
2015,1,Vanderbilt,12.0,Western Kentucky,14.0,-17.5,2.0,-17.671875
2015,1,Utah,24.0,Michigan,17.0,-3.0,-7.0,-6.361328125
2015,1,Idaho,28.0,Ohio,45.0,7.0,17.0,13.875073068649456
2015,1,Minnesota,17.0,TCU,23.0,16.0,6.0,18.50720940306622
2015,1,Tulane,7.0,Duke,37.0,13.5,30.0,23.006605134930936
2015,1,Arizona,42.0,UT San Antonio,32.0,-30.5,-10.0,-26.526632187248612
2015,1,Hawai'i,28.0,Colorado,20.0,-2.5,-8.0,-5.854722990069064
2015,1,Georgia State,20.0,Charlotte,23.0,-4.0,3.0,-1.693359375
2015,1,Western Michigan,24.0,Michigan State,37.0,23.5,13.0,21.62659822430936
2015,1,SMU,21.0,Baylor,56.0,20.0,35.0,26.53000726198202
2015,1,Boise State,16.0,Washington,13.0,-11.0,-3.0,-6.537109375
2015,1,Northwestern,16.0,Stanford,6.0,10.0,-10.0,17.11427637737558
2015,1,Georgia,51.0,Louisiana Monroe,14.0,-31.0,-37.0,-26.39178943369664
2015,1,Temple,27.0,Penn State,10.0,14.0,-17.0,-7.2763138352762535
2015,1,Tulsa,47.0,Florida Atlantic,44.0,-21.0,-3.0,-10.469041108424154
2015,1,Arkansas,48.0,UTEP,13.0,-35.0,-35.0,-32.15946209303232
2015,1,UCLA,34.0,Virginia,16.0,-14.5,-18.0,-15.216796875
2015,1,Nebraska,28.0,BYU,33.0,-7.5,5.0,-7.61328125
2015,1,Auburn,31.0,Louisville,24.0,-10.5,-7.0,-12.248046875
2015,1,Eastern Michigan,34.0,Old Dominion,38.0,-7.0,4.0,-2.7704991096081413
2015,1,Tennessee,59.0,Bowling Green,30.0,-17.0,-29.0,-19.315343856056185
2015,1,NC State,49.0,Troy,21.0,-23.0,-28.0,-23.382118343032307
2015,1,Texas A&M,38.0,Arizona State,17.0,-3.0,-21.0,-8.44921875
2015,1,Oklahoma,41.0,Akron,3.0,-38.0,-38.0,-40.21512495805763
2015,1,West Virginia,44.0,Georgia Southern,0.0,-38.0,-44.0,-40.64225220500845
2015,1,Northern Illinois,38.0,UNLV,30.0,-16.0,-8.0,-11.653620123816012
2015,1,Notre Dame,38.0,Texas,3.0,-9.0,-35.0,-25.876953125
2015,1,Florida,61.0,New Mexico State,13.0,-38.0,-48.0,-40.73317335978659
2015,1,Alabama,35.0,Wisconsin,17.0,-10.0,-18.0,-14.201775557534532
2015,1,Florida State,59.0,Texas State,16.0,-37.0,-43.0,-38.72944867304075
2015,1,Southern Mississippi,16.0,Mississippi State,34.0,13.0,18.0,6.579510401015137
2015,1,USC,55.0,Arkansas State,6.0,-27.0,-49.0,-36.04650436807451
2015,1,Marshall,41.0,Purdue,31.0,2.5,-10.0,-5.408806807534532
2015,1,Virginia Tech,24.0,Ohio State,42.0,14.0,18.0,17.352592414723745
2015,2,Western Kentucky,41.0,Louisiana Tech,38.0,-3.0,-3.0,-0.341796875
2015,2,Florida Atlantic,20.0,Miami,44.0,16.5,24.0,19.004936164723745
2015,2,Utah,24.0,Utah State,14.0,-11.0,-10.0,-2.623046875
2015,2,Florida State,34.0,South Florida,14.0,-29.0,-20.0,-23.50764083711237
2015,2,Michigan,35.0,Oregon State,7.0,-14.0,-28.0,-15.690729498816012
2015,2,Penn State,27.0,Buffalo,14.0,-16.5,-13.0,-14.393854498816012
2015,2,Connecticut,22.0,Army,17.0,-6.5,-5.0,-9.147820471584264
2015,2,UT San Antonio,3.0,Kansas State,30.0,22.5,27.0,23.720348809910114
2015,2,Wisconsin,58.0,Miami (OH),0.0,-33.0,-58.0,-42.92594812298891
2015,2,Maryland,27.0,Bowling Green,48.0,-10.0,21.0,8.0234375
2015,2,Louisville,31.0,Houston,34.0,-12.5,3.0,-1.669921875
2015,2,Syracuse,30.0,Wake Forest,17.0,-5.5,-13.0,-10.46875
2015,2,Clemson,41.0,Appalachian State,10.0,-21.0,-31.0,-10.973255872632024
2015,2,Colorado,48.0,UMass,14.0,-16.0,-34.0,-25.525390625
2015,2,Texas Tech,69.0,UTEP,20.0,-16.5,-49.0,-21.401204227504216
2015,2,Ohio State,38.0,Hawai'i,0.0,-38.0,-38.0,-39.40759360200144
2015,2,Ole Miss,73.0,Fresno State,21.0,-23.0,-52.0,-37.12065349493971
2015,2,Rutgers,34.0,Washington State,37.0,-5.5,3.0,-4.998046875
2015,2,Colorado State,20.0,Minnesota,23.0,5.0,3.0,1.5680398472582793
2015,2,Georgia Tech,65.0,Tulane,10.0,-26.0,-55.0,-37.696285470075956
2015,2,Virginia,27.0,Notre Dame,34.0,11.5,7.0,11.232386502051087
2015,2,Vanderbilt,14.0,Georgia,31.0,17.0,17.0,16.467471889033106
2015,2,Wyoming,29.0,Eastern Michigan,48.0,-11.0,19.0,6.578125
2015,2,Arkansas,12.0,Toledo,16.0,-21.0,4.0,-14.188776373816012
2015,2,Alabama,37.0,Middle Tennessee,10.0,-34.0,-27.0,-31.872138738160118
2015,2,Iowa State,17.0,Iowa,31.0,4.0,14.0,-1.1334150163608534
