id,season,neutral_site,home_team_x,home_conference,home_points,home_pregame_elo,away_team_x,away_conference,away_points,away_pregame_elo,spread,margin
400763593,2015,FALSE,UCF,American Athletic,14,1626,Florida International,Conference USA,15,1321,-17,1
400603840,2015,TRUE,South Carolina,SEC,17,1646,North Carolina,ACC,13,1477,-3.5,-4
400763399,2015,FALSE,Central Michigan,Mid-American,13,1417,Oklahoma State,Big 12,24,1567,20.5,11
400603839,2015,FALSE,Vanderbilt,SEC,12,1365,Western Kentucky,Conference USA,14,1521,-17.5,2
400756883,2015,FALSE,Utah,Pac-12,24,1603,Michigan,Big Ten,17,1553,-3,-7
400787302,2015,FALSE,Idaho,Sun Belt,28,1167,Ohio,Mid-American,45,1321,7,17
400763398,2015,FALSE,Minnesota,Big Ten,17,1633,TCU,Big 12,23,1963,16,6
400756894,2015,FALSE,Tulane,American Athletic,7,1311,Duke,ACC,37,1572,13.5,30
400756882,2015,FALSE,Arizona,Pac-12,42,1649,UT San Antonio,Conference USA,32,1294,-30.5,-10
400787107,2015,FALSE,Hawai'i,Mountain West,28,1347,Colorado,Pac-12,20,1357,-2.5,-8
400763587,2015,FALSE,Georgia State,Sun Belt,20,1092,Charlotte,Conference USA,23,1500,-4,3
400763470,2015,FALSE,Western Michigan,Mid-American,24,1444,Michigan State,Big Ten,37,1850,23.5,13
400764855,2015,FALSE,SMU,American Athletic,21,1147,Baylor,Big 12,56,1874,20,35
400756888,2015,FALSE,Boise State,Mountain West,16,1716,Washington,Pac-12,13,1625,-11,-3
400603831,2015,FALSE,Georgia,SEC,51,1856,Louisiana Monroe,Sun Belt,14,1312,-31,-37
400756891,2015,FALSE,Northwestern,Big Ten,16,1482,Stanford,Pac-12,6,1747,10,-10
400763495,2015,FALSE,Nebraska,Big Ten,28,1673,BYU,FBS Independents,33,1569,-7.5,5
400603829,2015,TRUE,Auburn,SEC,31,1732,Louisville,ACC,24,1682,-10.5,-7
400756904,2015,FALSE,UCLA,Pac-12,34,1690,Virginia,ACC,16,1494,-14.5,-18
400763592,2015,FALSE,Tulsa,American Athletic,47,1285,Florida Atlantic,Conference USA,44,1311,-21,-3
400763588,2015,FALSE,Eastern Michigan,Mid-American,34,1027,Old Dominion,Conference USA,38,1295,-7,4
400763497,2015,FALSE,Temple,American Athletic,27,1489,Penn State,Big Ten,10,1556,14,-17
400603828,2015,FALSE,Arkansas,SEC,48,1741,UTEP,Conference USA,13,1359,-35,-35
400834350,2015,TRUE,Tennessee,SEC,59,1613,Bowling Green,Mid-American,30,1379,-17,-29
400756901,2015,FALSE,NC State,ACC,49,1543,Troy,Sun Belt,21,1210,-23,-28
400603838,2015,TRUE,Texas A&M,SEC,38,1628,Arizona State,Pac-12,17,1683,-3,-21
400763404,2015,FALSE,Oklahoma,Big 12,41,1664,Akron,Mid-American,3,1314,-38,-38
400763407,2015,FALSE,West Virginia,Big 12,44,1590,Georgia Southern,Sun Belt,0,1491,-38,-44
400787115,2015,FALSE,Northern Illinois,Mid-American,38,1513,UNLV,Mountain West,30,1233,-16,-8
400763403,2015,FALSE,Notre Dame,FBS Independents,38,1595,Texas,Big 12,3,1564,-9,-35
400603830,2015,FALSE,Florida,SEC,61,1661,New Mexico State,Sun Belt,13,1100,-38,-48
400603827,2015,TRUE,Alabama,SEC,35,1920,Wisconsin,Big Ten,17,1731,-10,-18
400756899,2015,FALSE,Florida State,ACC,59,1779,Texas State,Sun Belt,16,1379,-37,-43
