id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,false,true,false,true,41064,3832,Memorial Stadium,356,Illinois,Big Ten,fbs,30,2,14,14,0,0.4056606386617034,1392,1411,158,Nebraska,Big Ten,fbs,22,0,9,7,6,0.5943393613382966,1503,1484,5.4859812562,,
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,false,true,false,false,26043,3660,Bulldog Stadium,278,Fresno State,Mountain West,fbs,45,7,24,7,7,0.9989676192140482,1465,1566,41,Connecticut,FBS Independents,fbs,0,0,0,0,0,0.001032380785951803,1223,1122,1.5355562765,,
401329133,2021,1,regular,2021-08-28T19:00:00.000Z,false,true,true,true,,3861,Ohio Stadium,2119,Central State,SIAC,ii,6,0,0,0,6,,,,2310,Kentucky State,SIAC,ii,20,6,7,0,7,,,,,,
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,false,true,false,false,32982,1056,Rose Bowl,26,UCLA,Pac-12,fbs,44,24,7,13,0,0.998923796291393,1517,1605,62,Hawai'i,Mountain West,fbs,10,3,0,7,0,0.0010762037086069487,1466,1378,1.3911846797,,
401328337,2021,1,regular,2021-08-28T22:00:00.000Z,false,true,false,false,,3829,Memorial Stadium,282,Indiana State,MVFC,fcs,26,7,3,7,9,,,,2197,Eastern Illinois,OVC,fcs,21,0,7,7,7,,,,,,
401327539,2021,1,regular,2021-08-28T23:00:00.000Z,false,true,true,false,,4246,Georgia State Stadium,2428,North Carolina Central,MEAC,fcs,23,0,7,6,10,,,,2016,Alcorn State,SWAC,fcs,14,7,0,7,0,,,,,,Cricket MEAC/SWAC Challenge
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,false,true,false,false,19034,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,3,0,3,0,0,0.0003672266073629033,1261,1182,2638,UTEP,Conference USA,fbs,30,17,3,10,0,0.9996327733926371,1222,1301,1.7024199439,,
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,false,true,false,false,16204,3935,Spartan Stadium,23,San José State,Mountain West,fbs,45,21,17,7,0,,,,253,Southern Utah,Big Sky,fcs,14,0,14,0,0,,,,,,
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,false,true,true,false,9122,3689,Cramton Bowl,55,Jacksonville State,AWC,fcs,0,0,0,0,0,0.0003023172538635826,,,5,UAB,Conference USA,fbs,31,0,10,14,7,0.9996976827461365,,,2.1316123178,,Montgomery Kickoff
401328989,2021,1,regular,2021-09-02T22:00:00.000Z,false,true,false,false,,3600,Tom Adams Field,131,Wayne State (MI),GLIAC,ii,21,6,8,7,0,,,,215,Slippery Rock,Pennsylvania State Athletic,ii,24,7,3,14,0,,,,,,
401328204,2021,1,regular,2021-09-02T22:00:00.000Z,false,true,false,true,,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,21,0,0,14,7,,,,160,New Hampshire,CAA,fcs,27,6,14,7,0,,,,,,
401328215,2021,1,regular,2021-09-02T22:00:00.000Z,false,true,false,false,,5781,Irwin Belk Stadium,351,Wingate,South Atlantic,ii,30,14,7,3,6,,,,2551,Shaw,CIAA,ii,7,0,0,0,7,,,,,,
401334787,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,5943,Duvall-Rosier Field,2986,Fairmont State,Mountain East,ii,14,0,0,14,0,,,,2858,California (PA),Pennsylvania State Athletic,ii,23,10,3,7,3,,,,,,
401328309,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,true,,5871,Convoy Leslie Cotton Boll Stadium,2028,Arkansas-Monticello,Great American,ii,30,7,23,0,0,,,,200,Southern Nazarene,Great American,ii,23,0,7,8,8,,,,,,
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,16236,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,fbs,52,7,24,14,7,,,,2643,The Citadel,Southern,fcs,14,0,0,7,7,,,,,,
401328388,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,844,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,44,14,10,7,10,,,,2916,Incarnate Word,Southland,fcs,41,7,14,13,7,,,,,,
401328276,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,true,,5870,Thone Stadium at Buerkle Field,2033,Arkansas Tech,Great American,ii,20,7,0,6,7,,,,199,Southeastern Oklahoma,Great American,ii,38,7,17,7,7,,,,,,
401329651,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,6046,Meares Stadium,2369,Mars Hill,South Atlantic,ii,24,0,7,7,10,,,,2804,Chowan,CIAA,ii,30,14,3,7,0,,,,,,
401328175,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,true,,3607,Alfond Stadium,311,Maine,CAA,fcs,24,0,24,0,0,,,,48,Delaware,CAA,fcs,34,7,10,10,7,,,,,,
401329689,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,true,,6030,Harms-Eischeid Stadium,389,Upper Iowa,Northern Sun,ii,14,0,7,0,7,,,,134,Minnesota-Duluth,Northern Sun,ii,41,7,27,0,7,,,,,,
401337471,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,5886,West Family Stadium,2699,West Liberty,Mountain East,ii,6,0,0,0,6,,,,2682,Walsh,Great Midwest Athletic,ii,27,3,14,3,7,,,,,,
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,43928,3652,Bright House Networks Stadium,2116,UCF,American Athletic,fbs,36,0,14,14,8,0.9342124591737911,1648,1651,68,Boise State,Mountain West,fbs,31,14,10,0,7,0.06578754082620886,1602,1599,10.2014008911,,
401357797,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,4417,Five Star Stadium at the Moye Complex,2382,Mercer,Southern,fcs,69,14,28,14,13,,,,3179,Point University,,,0,0,0,0,0,,,,,,
401332315,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,3701,Drake Stadium,2181,Drake,Pioneer,fcs,45,21,14,10,0,,,,455,WV Wesleyan,Mountain East,ii,3,0,0,0,3,,,,,,
401328458,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,3925,Seibert Stadium,2535,Samford,Southern,fcs,52,14,3,21,14,,,,2635,Tennessee Tech,OVC,fcs,14,0,7,7,0,,,,,,
401329015,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,false,,5935,Parker Field at McCool Stadium,2170,Delta State,Gulf South,ii,48,,,,,,,,2064,Bethel (TN),,,14,,,,,,,,,,
401334786,2021,1,regular,2021-09-02T23:00:00.000Z,false,true,false,true,,6035,"Memorial Stadium (Wayne, NE)",2844,Wayne State (NE),Northern Sun,ii,34,10,7,10,7,,,,559,University of Mary,Northern Sun,ii,27,0,0,14,13,,,,,,
