id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401426604,Florida International,,Florida Atlantic,,Bovada,54.5,15.5,Florida Atlantic -15.5,15.0,54.0,500,-750
401411164,Wake Forest,,North Carolina,,Bovada,77.5,-4.0,Wake Forest -4.0,-3.5,76.0,-180,155
401414784,Arkansas State,,UMass,,Bovada,49.5,-17.5,Arkansas State -17.5,-18.0,49.5,-1200,700
401415255,Nevada,,Boise State,,Bovada,47.0,21.0,Boise State -21.0,20.5,48.5,850,-1800
401411163,Virginia,,Pittsburgh,,Bovada,40.5,4.5,Pittsburgh -4.5,4.5,41.5,170,-200
401404131,Navy,,Notre Dame,,Bovada,39.5,15.0,Notre Dame -15.0,17.0,42.5,575,-900
401404109,Baylor,,Kansas State,,Bovada,52.0,-2.5,Baylor -2.5,-3.5,53.5,-140,120
401404112,West Virginia,,Oklahoma,,Bovada,68.5,8.0,Oklahoma -8.0,8.0,66.0,255,
401404113,Texas,,TCU,,Bovada,65.0,-7.0,Texas -7.0,-7.0,65.5,-290,240
401415657,Tulane,,UCF,,Bovada,54.5,-1.5,Tulane -1.5,-2.0,51.5,-125,105
401426371,Coastal Carolina,,Southern Mississippi,,Bovada,48.0,-5.0,Coastal Carolina -5.0,-11.5,54.5,-220,180
401426372,Georgia State,,Louisiana Monroe,,Bovada,58.5,-13.5,Georgia State -13.5,-13.5,59.0,-550,390
401426373,Marshall,,Appalachian State,,Bovada,47.5,1.0,Appalachian State -1.0,0.0,46.0,-110,-110
401426374,Old Dominion,,James Madison,,Bovada,46.5,7.5,James Madison -7.5,7.5,48.0,255,-310
401426375,South Alabama,,Texas State,,Bovada,46.5,-16.5,South Alabama -16.5,-16.0,47.5,-850,550
401426603,Middle Tennessee,,Charlotte,,Bovada,67.0,-10.5,Middle Tennessee -10.5,-11.5,68.0,-470,345
401415653,Memphis,,Tulsa,,Bovada,62.0,-7.0,Memphis -7.0,-6.5,62.5,-245,205
401426370,Louisiana,,Georgia Southern,,Bovada,63.0,-3.5,Louisiana -3.5,-3.5,58.5,,140
401404033,USC,,Colorado,,Bovada,65.5,-34.5,USC -34.5,-34.0,64.0,,
401415654,Cincinnati,,East Carolina,,Bovada,52.0,-5.0,Cincinnati -5.0,-6.5,53.5,-250,210
401403939,Arkansas,,LSU,,Bovada,62.0,4.0,LSU -4.0,3.0,62.0,130,-150
401403940,Auburn,,Texas A&M,,Bovada,48.5,-1.5,Auburn -1.5,-1.5,49.5,-125,105
401403941,Florida,,South Carolina,,Bovada,59.0,-8.0,Florida -8.0,-8.0,59.0,-330,265
401403942,Kentucky,,Vanderbilt,,Bovada,47.5,-18.0,Kentucky -18.0,-17.5,50.0,-1100,650
401404142,Troy,,Army,,Bovada,46.0,-9.0,Troy -9.0,-9.0,45.5,-340,270
401404156,Connecticut,,Liberty,,Bovada,45.0,14.0,Liberty -14.0,14.5,48.0,425,-600
401405134,Illinois,,Purdue,,Bovada,44.5,-6.5,Illinois -6.5,-6.5,46.5,-260,215
401405135,Iowa,,Wisconsin,,Bovada,34.5,1.5,Wisconsin -1.5,-1.5,36.5,-115,-105
401405136,Minnesota,,Northwestern,,Bovada,40.5,-17.5,Minnesota -17.5,-18.0,41.0,-1000,625
401405137,Michigan,,Nebraska,,Bovada,48.5,-30.5,Michigan -30.5,-28.5,52.0,,
401405138,Michigan State,,Rutgers,,Bovada,41.0,-9.5,Michigan State -9.5,-11.5,40.0,-450,335
401405139,Ohio State,,Indiana,,Bovada,58.5,-40.5,Ohio State -40.5,-40.0,57.5,,
