season,week,home_team_x,home_points,away_team_x,away_points,spread,margin,PREDICTION,Predicted_Winner
2022,11,Akron,28.0,Eastern Michigan,34.0,6.5,6.0,15.648195686410993,Eastern Michigan
2022,11,Miami (OH),21.0,Ohio,37.0,2.5,16.0,6.34765625,Ohio
2022,11,Toledo,28.0,Ball State,21.0,-13.5,-7.0,-11.04987311316011,Toledo
2022,11,Western Michigan,21.0,Northern Illinois,24.0,1.0,3.0,4.919921875,Northern Illinois
2022,11,Bowling Green,6.0,Kent State,40.0,2.5,34.0,-1.8168678551381263,Bowling Green
2022,11,Central Michigan,31.0,Buffalo,27.0,-2.5,-4.0,-0.5689630575345316,Central Michigan
2022,11,Memphis,26.0,Tulsa,10.0,-6.5,-16.0,-7.846200103087039,Memphis
2022,11,Louisiana,36.0,Georgia Southern,17.0,-3.5,-19.0,-11.951171875,Louisiana
2022,11,Cincinnati,27.0,East Carolina,25.0,-4.5,-2.0,-3.03125,Cincinnati
2022,11,USC,55.0,Colorado,17.0,-34.5,-38.0,-31.784735795672766,USC
2022,11,UNLV,30.0,Fresno State,37.0,8.5,7.0,12.651811398964046,Fresno State
2022,11,Tennessee,66.0,Missouri,24.0,-19.5,-42.0,-31.7265625,Tennessee
2022,11,Connecticut,36.0,Liberty,33.0,13.5,-3.0,3.698118089378433,Liberty
2022,11,Virginia,7.0,Pittsburgh,37.0,5.5,30.0,21.170951789723745,Pittsburgh
2022,11,South Florida,23.0,SMU,41.0,17.5,18.0,22.749929839702922,SMU
2022,11,Duke,24.0,Virginia Tech,7.0,-10.0,-17.0,-2.1522724185014153,Duke
2022,11,Kentucky,21.0,Vanderbilt,24.0,-17.0,3.0,-2.052734375,Kentucky
2022,11,Arkansas,10.0,LSU,13.0,3.5,3.0,-0.16015625,Arkansas
2022,11,West Virginia,23.0,Oklahoma,20.0,8.5,-3.0,7.4685725496546835,Oklahoma
2022,11,Ohio State,56.0,Indiana,14.0,-40.5,-42.0,-38.2657171393863,Ohio State
2022,11,Navy,32.0,Notre Dame,35.0,17.0,3.0,5.4072799147237465,Notre Dame
2022,11,Michigan State,27.0,Rutgers,21.0,-10.0,-6.0,-6.266228682534532,Michigan State
2022,11,Old Dominion,3.0,James Madison,37.0,7.5,34.0,18.67666908732734,James Madison
2022,11,Georgia State,28.0,Louisiana Monroe,31.0,-13.5,3.0,-8.199201344216284,Georgia State
