id,season,home_team_x,home_points,away_team_x,away_points
400763593.0,2015.0,UCF,14.0,Florida International,15.0
400763593.0,2015.0,UCF,14.0,Florida International,15.0
400763399.0,2015.0,Central Michigan,13.0,Oklahoma State,24.0
400763399.0,2015.0,Central Michigan,13.0,Oklahoma State,24.0
400603839.0,2015.0,Vanderbilt,12.0,Western Kentucky,14.0
400603839.0,2015.0,Vanderbilt,12.0,Western Kentucky,14.0
400787302.0,2015.0,Idaho,28.0,Ohio,45.0
400787302.0,2015.0,Idaho,28.0,Ohio,45.0
400763398.0,2015.0,Minnesota,17.0,TCU,23.0
400763398.0,2015.0,Minnesota,17.0,TCU,23.0
400756894.0,2015.0,Tulane,7.0,Duke,37.0
400756894.0,2015.0,Tulane,7.0,Duke,37.0
400763587.0,2015.0,Georgia State,20.0,Charlotte,23.0
400763587.0,2015.0,Georgia State,20.0,Charlotte,23.0
400763470.0,2015.0,Western Michigan,24.0,Michigan State,37.0
400763470.0,2015.0,Western Michigan,24.0,Michigan State,37.0
400764855.0,2015.0,SMU,21.0,Baylor,56.0
400764855.0,2015.0,SMU,21.0,Baylor,56.0
400763588.0,2015.0,Eastern Michigan,34.0,Old Dominion,38.0
400763588.0,2015.0,Eastern Michigan,34.0,Old Dominion,38.0
400763495.0,2015.0,Nebraska,28.0,BYU,33.0
400763495.0,2015.0,Nebraska,28.0,BYU,33.0
400603836.0,2015.0,Southern Mississippi,16.0,Mississippi State,34.0
400603836.0,2015.0,Southern Mississippi,16.0,Mississippi State,34.0
400756905.0,2015.0,Virginia Tech,24.0,Ohio State,42.0
400756905.0,2015.0,Virginia Tech,24.0,Ohio State,42.0
400756912.0,2015.0,Florida Atlantic,20.0,Miami,44.0
400756912.0,2015.0,Florida Atlantic,20.0,Miami,44.0
400756911.0,2015.0,Louisville,31.0,Houston,34.0
400756911.0,2015.0,Louisville,31.0,Houston,34.0
400763502.0,2015.0,Maryland,27.0,Bowling Green,48.0
400763502.0,2015.0,Maryland,27.0,Bowling Green,48.0
400763414.0,2015.0,UT San Antonio,3.0,Kansas State,30.0
400763414.0,2015.0,UT San Antonio,3.0,Kansas State,30.0
400603870.0,2015.0,Vanderbilt,14.0,Georgia,31.0
400603870.0,2015.0,Vanderbilt,14.0,Georgia,31.0
400763499.0,2015.0,Colorado State,20.0,Minnesota,23.0
400763499.0,2015.0,Colorado State,20.0,Minnesota,23.0
400757021.0,2015.0,Rutgers,34.0,Washington State,37.0
400757021.0,2015.0,Rutgers,34.0,Washington State,37.0
400756917.0,2015.0,Virginia,27.0,Notre Dame,34.0
400756917.0,2015.0,Virginia,27.0,Notre Dame,34.0
400603861.0,2015.0,Arkansas,12.0,Toledo,16.0
400603861.0,2015.0,Arkansas,12.0,Toledo,16.0
400787119.0,2015.0,Wyoming,29.0,Eastern Michigan,48.0
400787119.0,2015.0,Wyoming,29.0,Eastern Michigan,48.0
400763409.0,2015.0,Iowa State,17.0,Iowa,31.0
400763409.0,2015.0,Iowa State,17.0,Iowa,31.0
400603868.0,2015.0,Tennessee,24.0,Oklahoma,31.0
400603868.0,2015.0,Tennessee,24.0,Oklahoma,31.0
400756915.0,2015.0,Akron,7.0,Pittsburgh,24.0
400756915.0,2015.0,Akron,7.0,Pittsburgh,24.0
400763410.0,2015.0,Kansas,23.0,Memphis,55.0
400763410.0,2015.0,Kansas,23.0,Memphis,55.0
400756892.0,2015.0,Nevada,20.0,Arizona,44.0
400756892.0,2015.0,Nevada,20.0,Arizona,44.0
400603862.0,2015.0,Arkansas State,20.0,Missouri,27.0
400603862.0,2015.0,Arkansas State,20.0,Missouri,27.0
400603867.0,2015.0,South Carolina,22.0,Kentucky,26.0
400603867.0,2015.0,South Carolina,22.0,Kentucky,26.0
400787415.0,2015.0,New Mexico State,32.0,Georgia State,34.0
400787415.0,2015.0,New Mexico State,32.0,Georgia State,34.0
400764863.0,2015.0,New Mexico,21.0,Tulsa,40.0
400764863.0,2015.0,New Mexico,21.0,Tulsa,40.0
400764862.0,2015.0,Cincinnati,26.0,Temple,34.0
400764862.0,2015.0,Cincinnati,26.0,Temple,34.0
400603865.0,2015.0,Mississippi State,19.0,LSU,21.0
400603865.0,2015.0,Mississippi State,19.0,LSU,21.0
400757015.0,2015.0,UNLV,3.0,UCLA,37.0
400757015.0,2015.0,UNLV,3.0,UCLA,37.0
400756920.0,2015.0,Boston College,0.0,Florida State,14.0
400756920.0,2015.0,Boston College,0.0,Florida State,14.0
400756930.0,2015.0,Army,14.0,Wake Forest,17.0
400756930.0,2015.0,Army,14.0,Wake Forest,17.0
400756921.0,2015.0,Duke,10.0,Northwestern,19.0
400756921.0,2015.0,Duke,10.0,Northwestern,19.0
400763605.0,2015.0,North Texas,24.0,Rice,38.0
400763605.0,2015.0,North Texas,24.0,Rice,38.0
400764869.0,2015.0,UMass,23.0,Temple,25.0
400764869.0,2015.0,UMass,23.0,Temple,25.0
400787311.0,2015.0,Eastern Michigan,17.0,Ball State,28.0
400787311.0,2015.0,Eastern Michigan,17.0,Ball State,28.0
400764864.0,2015.0,Bowling Green,41.0,Memphis,44.0
400764864.0,2015.0,Bowling Green,41.0,Memphis,44.0
400756929.0,2015.0,Purdue,24.0,Virginia Tech,51.0
400756929.0,2015.0,Purdue,24.0,Virginia Tech,51.0
400764865.0,2015.0,Miami (OH),33.0,Cincinnati,37.0
400764865.0,2015.0,Miami (OH),33.0,Cincinnati,37.0
400756925.0,2015.0,Old Dominion,14.0,NC State,38.0
400756925.0,2015.0,Old Dominion,14.0,NC State,38.0
400603851.0,2015.0,Arkansas,24.0,Texas Tech,35.0
400603851.0,2015.0,Arkansas,24.0,Texas Tech,35.0
400757028.0,2015.0,Colorado State,24.0,Colorado,27.0
400757028.0,2015.0,Colorado State,24.0,Colorado,27.0
400763606.0,2015.0,Texas State,50.0,Southern Mississippi,56.0
400763606.0,2015.0,Texas State,50.0,Southern Mississippi,56.0
400757034.0,2015.0,Texas,44.0,California,45.0
400757034.0,2015.0,Texas,44.0,California,45.0
400603853.0,2015.0,Kentucky,9.0,Florida,14.0
400603853.0,2015.0,Kentucky,9.0,Florida,14.0
400763604.0,2015.0,New Mexico State,47.0,UTEP,50.0
400763604.0,2015.0,New Mexico State,47.0,UTEP,50.0
400787243.0,2015.0,San Diego State,27.0,South Alabama,34.0
400787243.0,2015.0,San Diego State,27.0,South Alabama,34.0
400757026.0,2015.0,USC,31.0,Stanford,41.0
400757026.0,2015.0,USC,31.0,Stanford,41.0
400603850.0,2015.0,Alabama,37.0,Ole Miss,43.0
400603850.0,2015.0,Alabama,37.0,Ole Miss,43.0
400757029.0,2015.0,Fresno State,24.0,Utah,45.0
400757029.0,2015.0,Fresno State,24.0,Utah,45.0
400756931.0,2015.0,Virginia,14.0,Boise State,56.0
400756931.0,2015.0,Virginia,14.0,Boise State,56.0
400757035.0,2015.0,Oregon State,24.0,Stanford,42.0
400757035.0,2015.0,Oregon State,24.0,Stanford,42.0
400603849.0,2015.0,Syracuse,24.0,LSU,34.0
400603849.0,2015.0,Syracuse,24.0,LSU,34.0
400763526.0,2015.0,Purdue,28.0,Bowling Green,35.0
400763526.0,2015.0,Purdue,28.0,Bowling Green,35.0
400764871.0,2015.0,Connecticut,18.0,Navy,28.0
400764871.0,2015.0,Connecticut,18.0,Navy,28.0
400756938.0,2015.0,Wake Forest,24.0,Indiana,31.0
400756938.0,2015.0,Wake Forest,24.0,Indiana,31.0
400787246.0,2015.0,Wyoming,28.0,New Mexico,38.0
400787246.0,2015.0,Wyoming,28.0,New Mexico,38.0
400763610.0,2015.0,Old Dominion,0.0,Appalachian State,49.0
