id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
232350023,2003,1,regular,2003-08-23T22:00:00.000Z,,false,false,31681,3935,Spartan Stadium,23,San José State,Western Athletic,fbs,29,7,3,3,16,,,,2755,Grambling,SWAC,fcs,0,0,0,0,0,,,,,,
232352306,2003,1,regular,2003-08-23T23:45:00.000Z,,false,false,50823,,,2306,Kansas State,Big 12,fbs,10,10,17,8,7,,1977,1973,25,California,Pac-10,fbs,7,7,7,0,14,,1569,1573,,,BCA CLASSIC AT KANSAS CITY MO
232400195,2003,2,regular,2003-08-28T23:00:00.000Z,false,false,false,10173,3876,Peden Stadium,195,Ohio,Mid-American,fbs,17,7,10,0,0,,,,2546,Southeast Missouri State,OVC,fcs,3,0,3,0,0,,,,,,
232402199,2003,2,regular,2003-08-28T23:00:00.000Z,false,false,false,11725,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,fbs,28,7,7,7,7,,,,2193,East Tennessee State,Southern,fcs,21,0,14,7,0,,,,,,
232400222,2003,2,regular,2003-08-28T23:00:00.000Z,false,false,false,,717,Villanova Stadium,222,Villanova,Atlantic 10,fcs,41,28,6,7,0,,,,2261,Hampton,MEAC,fcs,6,0,0,6,0,,,,,,
232400189,2003,2,regular,2003-08-28T23:00:00.000Z,false,false,false,15669,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,63,14,21,7,21,,,,2198,Eastern Kentucky,OVC,fcs,13,7,0,0,6,,,,,,
232402447,2003,2,regular,2003-08-28T23:00:00.000Z,false,false,false,,3779,Manning Field at John L. Guidry Stadium,2447,Nicholls,Southland,fcs,70,21,21,7,21,,,,2064,Bethel (TN),,,0,0,0,0,0,,,,,,
232402710,2003,2,regular,2003-08-28T23:05:00.000Z,false,false,false,,3746,Hanson Field,2710,Western Illinois,MVFC,fcs,35,7,21,7,0,,,,2844,Wayne State (NE),,,3,0,3,0,0,,,,,,
232402348,2003,2,regular,2003-08-28T23:30:00.000Z,,false,false,43279,3776,Joe Aillet Stadium,2348,Louisiana Tech,Western Athletic,fbs,9,3,0,3,3,,1307,1270,2390,Miami,Big East,fbs,48,14,7,17,10,,1927,1964,,,
232402006,2003,2,regular,2003-08-28T23:30:00.000Z,,false,true,26814,,,2006,Akron,Mid-American,fbs,38,14,10,0,14,,1419,1394,2309,Kent State,Mid-American,fbs,41,17,7,0,17,,1115,1140,,,
232402754,2003,2,regular,2003-08-28T23:30:00.000Z,false,false,false,,844,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,35,7,21,0,7,,,,2205,Edinboro,,,11,0,11,0,0,,,,,,
232402459,2003,2,regular,2003-08-28T23:35:00.000Z,,false,false,28018,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,fbs,20,0,10,0,3,,1552,1573,120,Maryland,ACC,fbs,13,7,0,3,3,,1742,1721,,,
232402287,2003,2,regular,2003-08-29T00:00:00.000Z,false,false,false,,3744,Hancock Stadium,2287,Illinois State,MVFC,fcs,27,7,10,7,3,,,,2181,Drake,Pioneer,fcs,13,6,0,0,7,,,,,,
232400079,2003,2,regular,2003-08-29T00:00:00.000Z,false,true,false,,,,79,Southern Illinois,MVFC,fcs,64,14,0,40,10,,,,2825,Quincy,,,14,0,0,8,6,,,,,,
232400098,2003,2,regular,2003-08-29T00:00:00.000Z,false,false,false,,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,MVFC,fcs,51,14,17,7,13,,,,2841,Union College,,,3,0,3,0,0,,,,,,
232402623,2003,2,regular,2003-08-29T00:00:00.000Z,false,false,false,,3878,Plaster Sports Complex,2623,Missouri State,MVFC,fcs,48,17,14,10,7,,,,2191,East Central,,,0,0,0,0,0,,,,,,
232402393,2003,2,regular,2003-08-29T00:00:00.000Z,false,false,false,23261,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,fbs,19,0,9,0,10,,1445,1436,2226,Florida Atlantic,FCS Independents,fcs,20,0,7,0,13,,1291,1300,,,
232402630,2003,2,regular,2003-08-29T00:00:00.000Z,false,false,false,,3748,Graham Stadium,2630,UT Martin,OVC,fcs,21,7,7,0,7,,,,2046,Austin Peay,Pioneer,fcs,20,0,0,7,13,,,,,,
232402050,2003,2,regular,2003-08-29T00:00:00.000Z,false,false,false,23549,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,31,6,9,6,10,,,,282,Indiana State,MVFC,fcs,7,0,0,7,0,,,,,,
