id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
292390282,2009,1,regular,2009-08-27T22:05:00.000Z,false,false,false,,3829,Memorial Stadium,282,Indiana State,MVFC,fcs,20,17,0,0,3,,,,2825,Quincy,,,26,0,3,3,14,,,,,,
292460152,2009,1,regular,2009-09-03T23:00:00.000Z,,false,false,0,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,3,0,0,3,0,,1512,1508,2579,South Carolina,SEC,fbs,7,7,0,0,0,,1550,1554,,,
292460189,2009,1,regular,2009-09-03T23:00:00.000Z,,false,false,0,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,31,0,7,7,17,,1488,1535,2653,Troy,Sun Belt,fbs,14,7,7,0,0,,1585,1538,,,
292462534,2009,1,regular,2009-09-03T23:00:00.000Z,false,false,false,,3647,Bowers Stadium,2534,Sam Houston State,Southland,fcs,28,14,0,14,0,,,,2710,Western Illinois,MVFC,fcs,35,7,7,14,7,,,,,,
292462546,2009,1,regular,2009-09-03T23:00:00.000Z,false,true,false,,3758,Houck Stadium,2546,Southeast Missouri State,OVC,fcs,72,28,30,7,7,,,,2825,Quincy,,,3,0,0,3,0,,,,,,
292460218,2009,1,regular,2009-09-03T23:00:00.000Z,false,false,false,0,3806,Lincoln Financial Field,218,Temple,Mid-American,fbs,24,0,10,7,7,,,,222,Villanova,CAA,fcs,27,0,0,14,13,,,,,,
292462630,2009,1,regular,2009-09-03T23:00:00.000Z,false,false,false,,3748,Graham Stadium,2630,UT Martin,OVC,fcs,56,7,14,21,14,,,,2295,Iowa Wesleyan,,,0,0,0,0,0,,,,,,
292460311,2009,1,regular,2009-09-03T23:00:00.000Z,false,false,false,,3607,Alfond Stadium,311,Maine,CAA,fcs,34,7,6,0,14,,,,2594,St. Cloud State,,,27,3,7,7,10,,,,,,
292460236,2009,1,regular,2009-09-03T23:00:00.000Z,false,false,false,,3720,Finley Stadium,236,Chattanooga,Southern,fcs,30,7,14,9,0,,,,2249,Glenville State,,,13,0,0,6,7,,,,,,
292462309,2009,1,regular,2009-09-03T23:00:00.000Z,false,false,false,0,3696,Dix Stadium,2309,Kent State,Mid-American,fbs,18,2,0,7,9,,1313,1363,324,Coastal Carolina,Big South,fcs,0,0,0,0,0,,1405,1355,,,
292462050,2009,1,regular,2009-09-03T23:30:00.000Z,,false,false,0,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,10,0,0,3,7,,1530,1459,249,North Texas,Sun Belt,fbs,20,7,3,0,10,,1035,1106,,,
292460084,2009,1,regular,2009-09-04T00:00:00.000Z,false,false,false,0,3830,Memorial Stadium,84,Indiana,Big Ten,fbs,19,9,10,0,0,,,,2198,Eastern Kentucky,OVC,fcs,13,7,3,3,0,,,,,,
292462197,2009,1,regular,2009-09-04T00:00:00.000Z,false,false,false,,3858,O'Brien Stadium,2197,Eastern Illinois,OVC,fcs,31,0,14,7,10,,,,2287,Illinois State,MVFC,fcs,6,0,0,6,0,,,,,,
292460093,2009,1,regular,2009-09-04T00:00:00.000Z,false,false,false,,3909,Roy Stewart Stadium,93,Murray State,OVC,fcs,66,15,16,21,14,,,,2316,Kentucky Wesleyan,,,10,0,7,3,0,,,,,,
292460066,2009,1,regular,2009-09-04T00:00:00.000Z,false,false,false,0,3772,Jack Trice Stadium,66,Iowa State,Big 12,fbs,34,7,10,10,7,,,,2449,North Dakota State,MVFC,fcs,17,0,10,7,0,,,,,,
292460233,2009,1,regular,2009-09-04T00:00:00.000Z,false,true,false,,,,233,South Dakota,Great West,fcs,52,10,21,7,14,,,,2912,William Penn,,,0,0,0,0,0,,,,,,
292460253,2009,1,regular,2009-09-04T00:00:00.000Z,false,false,false,,3706,Eccles Coliseum,253,Southern Utah,Great West,fcs,36,6,14,10,6,,,,3101,Utah Tech,,,7,0,7,0,0,,,,,,
292460254,2009,1,regular,2009-09-04T01:00:00.000Z,,false,false,0,587,Rice-Eccles Stadium,254,Utah,Mountain West,fbs,35,14,12,7,2,,1799,1800,328,Utah State,Western Athletic,fbs,17,10,7,0,0,,1359,1358,,,
292460068,2009,1,regular,2009-09-04T02:15:00.000Z,,false,false,0,3653,Albertsons Stadium,68,Boise State,Western Athletic,fbs,19,0,13,6,0,,1813,1832,2483,Oregon,Pac-10,fbs,8,0,0,8,0,,1799,1780,,,
292470048,2009,1,regular,2009-09-04T23:00:00.000Z,false,false,false,,3695,Delaware Stadium,48,Delaware,CAA,fcs,35,7,14,14,0,,,,223,West Chester,,,0,0,0,0,0,,,,,,
292472655,2009,1,regular,2009-09-05T00:00:00.000Z,,false,true,0,3493,Mercedes-Benz Superdome,2655,Tulane,Conference USA,fbs,13,0,3,7,3,,1128,1125,202,Tulsa,Conference USA,fbs,37,17,3,3,14,,1698,1701,,,
292480062,2009,1,regular,2009-09-05T05:05:00.000Z,false,true,false,0,3610,Aloha Stadium,62,Hawai'i,Western Athletic,fbs,25,2,7,10,6,,,,2110,Central Arkansas,Southland,fcs,20,7,7,0,6,,,,,,
292480160,2009,1,regular,2009-09-05T16:00:00.000Z,false,false,false,,3688,Wildcat Stadium,160,New Hampshire,CAA,fcs,24,21,3,0,0,,,,2598,St Francis (PA),NEC,fcs,14,7,7,0,0,,,,,,
