season,week,home_team_x,home_points,away_team_x,away_points,spread,margin,PREDICTION
2015,1,UCF,14.0,Florida International,15.0,-17.0,1.0,-7.663890681776556
2015,1,South Carolina,17.0,North Carolina,13.0,-3.5,-4.0,-5.115234375
2015,1,Central Michigan,13.0,Oklahoma State,24.0,20.5,11.0,14.280481139734537
2015,1,Vanderbilt,12.0,Western Kentucky,14.0,-17.5,2.0,-6.119887511355311
2015,1,Utah,24.0,Michigan,17.0,-3.0,-7.0,-6.375
2015,1,Minnesota,17.0,TCU,23.0,16.0,6.0,9.50629001672165
2015,1,Idaho,28.0,Ohio,45.0,7.0,17.0,3.0798942236584415
2015,1,Tulane,7.0,Duke,37.0,13.5,30.0,23.97746999503224
2015,1,Arizona,42.0,UT San Antonio,32.0,-30.5,-10.0,-20.597316124633693
2015,1,Hawai'i,28.0,Colorado,20.0,-2.5,-8.0,-4.241157107284794
2015,1,Georgia State,20.0,Charlotte,23.0,-4.0,3.0,-3.857421875
2015,1,Western Michigan,24.0,Michigan State,37.0,23.5,13.0,22.743525636753894
2015,1,SMU,21.0,Baylor,56.0,20.0,35.0,16.375246295197165
2015,1,Boise State,16.0,Washington,13.0,-11.0,-3.0,-9.705078125
2015,1,Georgia,51.0,Louisiana Monroe,14.0,-31.0,-37.0,-27.575316294963372
2015,1,Northwestern,16.0,Stanford,6.0,10.0,-10.0,17.542722954634034
2015,1,Tulsa,47.0,Florida Atlantic,44.0,-21.0,-3.0,-12.629597033974353
2015,1,Eastern Michigan,34.0,Old Dominion,38.0,-7.0,4.0,-0.8222095226190441
2015,1,Arkansas,48.0,UTEP,13.0,-35.0,-35.0,-33.91527224972528
2015,1,UCLA,34.0,Virginia,16.0,-14.5,-18.0,-16.529296875
2015,1,Temple,27.0,Penn State,10.0,14.0,-17.0,-6.880705502980669
2015,1,Auburn,31.0,Louisville,24.0,-10.5,-7.0,-8.595703125
2015,1,Nebraska,28.0,BYU,33.0,-7.5,5.0,-2.41796875
2015,1,Tennessee,59.0,Bowling Green,30.0,-17.0,-29.0,-26.0700845793956
2015,1,NC State,49.0,Troy,21.0,-23.0,-28.0,-25.6755533293956
2015,1,Texas A&M,38.0,Arizona State,17.0,-3.0,-21.0,-12.599609375
2015,1,Oklahoma,41.0,Akron,3.0,-38.0,-38.0,-38.59123234010984
2015,1,Northern Illinois,38.0,UNLV,30.0,-16.0,-8.0,-8.970071954487178
2015,1,Notre Dame,38.0,Texas,3.0,-9.0,-35.0,-25.58984375
2015,1,West Virginia,44.0,Georgia Southern,0.0,-38.0,-44.0,-34.011897590384606
2015,1,Florida,61.0,New Mexico State,13.0,-38.0,-48.0,-41.48469413379106
2015,1,Alabama,35.0,Wisconsin,17.0,-10.0,-18.0,-18.515625
2015,1,Florida State,59.0,Texas State,16.0,-37.0,-43.0,-39.86317255631868
2015,1,Southern Mississippi,16.0,Mississippi State,34.0,13.0,18.0,15.067590514734537
2015,1,USC,55.0,Arkansas State,6.0,-27.0,-49.0,-31.469230418772913
2015,1,Marshall,41.0,Purdue,31.0,2.5,-10.0,-6.487143196854381
2015,1,Virginia Tech,24.0,Ohio State,42.0,14.0,18.0,15.504598424171393
2015,2,Western Kentucky,41.0,Louisiana Tech,38.0,-3.0,-3.0,-2.181640625
2015,2,Florida Atlantic,20.0,Miami,44.0,16.5,24.0,15.779127765728093
2015,2,Utah,24.0,Utah State,14.0,-11.0,-10.0,-6.948080696854381
2015,2,Florida State,34.0,South Florida,14.0,-29.0,-20.0,-29.242545180769227
2015,2,Wisconsin,58.0,Miami (OH),0.0,-33.0,-58.0,-42.7015576444137
2015,2,Connecticut,22.0,Army,17.0,-6.5,-5.0,-7.936237658974357
2015,2,Penn State,27.0,Buffalo,14.0,-16.5,-13.0,-16.432215693131866
2015,2,Michigan,35.0,Oregon State,7.0,-14.0,-28.0,-15.133559386355312
2015,2,Maryland,27.0,Bowling Green,48.0,-10.0,21.0,8.958696840934067
2015,2,UT San Antonio,3.0,Kansas State,30.0,22.5,27.0,27.071496764734547
2015,2,Louisville,31.0,Houston,34.0,-12.5,3.0,-0.3984375
2015,2,Clemson,41.0,Appalachian State,10.0,-21.0,-31.0,-19.573128227197802
2015,2,Syracuse,30.0,Wake Forest,17.0,-5.5,-13.0,-6.159125857284794
2015,2,Colorado,48.0,UMass,14.0,-16.0,-34.0,-26.826171875
2015,2,Texas Tech,69.0,UTEP,20.0,-16.5,-49.0,-19.657112602197795
2015,2,Georgia Tech,65.0,Tulane,10.0,-26.0,-55.0,-36.37532264487172
2015,2,Rutgers,34.0,Washington State,37.0,-5.5,3.0,-5.115234375
2015,2,Ole Miss,73.0,Fresno State,21.0,-23.0,-52.0,-38.13496904294861
2015,2,Vanderbilt,14.0,Georgia,31.0,17.0,17.0,18.071496764734537
2015,2,Virginia,27.0,Notre Dame,34.0,11.5,7.0,10.933424640728093
2015,2,Ohio State,38.0,Hawai'i,0.0,-38.0,-38.0,-38.39161034020146
2015,2,Colorado State,20.0,Minnesota,23.0,5.0,3.0,4.154296875
2015,2,Wyoming,29.0,Eastern Michigan,48.0,-11.0,19.0,4.744140625
2015,2,Arkansas,12.0,Toledo,16.0,-21.0,4.0,-21.762753170421245
2015,2,Alabama,37.0,Middle Tennessee,10.0,-34.0,-27.0,-34.045728374816846
2015,2,Iowa State,17.0,Iowa,31.0,4.0,14.0,9.032628056868132
2015,2,California,35.0,San Diego State,7.0,-9.0,-28.0,-20.95772203397436
2015,2,Akron,7.0,Pittsburgh,24.0,11.5,17.0,14.699326410430412
2015,2,Georgia Southern,43.0,Western Michigan,17.0,4.5,-26.0,-1.3542230364239685
2015,2,Tennessee,24.0,Oklahoma,31.0,3.0,7.0,3.9083107854304124
2015,2,Arkansas State,20.0,Missouri,27.0,13.0,7.0,10.392685785430412
2015,2,Florida,31.0,East Carolina,24.0,-13.0,-7.0,-13.256606261355312
2015,2,Ohio,21.0,Marshall,10.0,4.0,-11.0,2.4901114773170128
2015,2,Nevada,20.0,Arizona,44.0,10.5,24.0,17.772130337582478
2015,2,Texas A&M,56.0,Ball State,23.0,-26.0,-33.0,-28.630515738553115
2015,2,Kansas,23.0,Memphis,55.0,10.5,32.0,22.68829983460182
2015,2,South Carolina,22.0,Kentucky,26.0,-7.5,4.0,-0.248046875
2015,2,New Mexico,21.0,Tulsa,40.0,-3.0,19.0,13.091796875
2015,2,Indiana,36.0,Florida International,22.0,-7.5,-14.0,-7.2734375
2015,2,Texas,42.0,Rice,28.0,-16.0,-14.0,-16.888671875
2015,2,USC,59.0,Idaho,9.0,-43.5,-50.0,-43.71103573534773
2015,2,Nebraska,48.0,South Alabama,9.0,-27.0,-39.0,-26.518738794505495
2015,2,New Mexico State,32.0,Georgia State,34.0,-4.0,2.0,-1.6953125
2015,2,Cincinnati,26.0,Temple,34.0,-6.5,8.0,0.34765625
2015,2,Mississippi State,19.0,LSU,21.0,3.0,2.0,-0.7939529311262861
2015,2,BYU,35.0,Boise State,24.0,1.5,-11.0,-5.19140625
2015,2,Air Force,37.0,San José State,16.0,-7.0,-21.0,-13.71484375
2015,2,UNLV,3.0,UCLA,37.0,28.0,34.0,32.25735138377326
2015,2,Stanford,31.0,UCF,7.0,-16.0,-24.0,-21.418715636355312
2015,3,Boston College,0.0,Florida State,14.0,10.5,14.0,0.6852701052976823
2015,3,Arizona State,34.0,New Mexico,10.0,-24.0,-24.0,-25.07370329532967
2015,3,Michigan State,35.0,Air Force,21.0,-27.5,-14.0,-20.456116056501827
2015,3,Oklahoma,52.0,Tulsa,38.0,-33.0,-14.0,-35.252945487362624
2015,3,Maryland,35.0,South Florida,17.0,-7.5,-18.0,-12.552734375
2015,3,Michigan,28.0,UNLV,7.0,-34.0,-21.0,-28.204972942399273
2015,3,Texas A&M,44.0,Nevada,27.0,-25.0,-17.0,-21.15562234056776
2015,3,Missouri,9.0,Connecticut,6.0,-24.0,-3.0,-12.766375397435882
2015,3,Minnesota,10.0,Kent State,7.0,-23.0,-3.0,-11.04262511355311
2015,3,North Carolina,48.0,Illinois,14.0,-7.0,-34.0,-22.24609375
